building_id,roof_area_m2,usable_area_m2,usable_ratio,shading_average,green_cell_ratio,yellow_cell_ratio,red_cell_ratio,panel_count,install_capacity_kw,panel_angle_deg,panel_capacity_w,estimated_install_cost_krw,subsidy_estimate_krw,annual_generation_kwh,annual_saving_krw,payback_years
seed-001,95,49.0,0.516,3.42,0.72,0.21,0.07,7,4.5,30,640,5890000,2650000,6180,958000,6.1
seed-002,95,43.6,0.459,3.12,0.58,0.31,0.11,6,3.8,35,640,5040000,2270000,4880,756000,6.7
seed-003,95,38.5,0.405,2.78,0.43,0.39,0.18,5,2.5,25,500,3280000,1480000,2880,446000,7.4
seed-004,95,32.5,0.342,2.35,0.27,0.45,0.28,4,2.6,30,640,3410000,1190000,2530,392000,8.7
seed-005,95,23.3,0.245,1.88,0.14,0.36,0.50,4,2.6,35,640,3410000,1190000,2060,319000,10.7
seed-006,190,98.1,0.516,3.42,0.72,0.21,0.07,14,7.0,25,500,9170000,4130000,9490,1471000,6.2
seed-007,190,87.2,0.459,3.12,0.58,0.31,0.11,12,7.7,30,640,10090000,4540000,9740,1510000,6.7
seed-008,190,77.0,0.405,2.78,0.43,0.39,0.18,11,7.0,35,640,9170000,4130000,8000,1240000,7.4
seed-009,190,65.0,0.342,2.35,0.27,0.45,0.28,9,4.5,25,500,5890000,2060000,4380,679000,8.7
seed-010,190,46.6,0.245,1.88,0.14,0.36,0.50,6,3.8,30,640,5040000,1760000,3050,473000,10.7
seed-011,360,185.8,0.516,3.42,0.72,0.21,0.07,26,16.6,35,640,20470000,9210000,23100,3581000,5.7
seed-012,360,165.2,0.459,3.12,0.58,0.31,0.11,23,14.7,25,640,18100000,8140000,18190,2819000,6.4
seed-013,360,145.8,0.405,2.78,0.43,0.39,0.18,20,10.0,30,500,12300000,5540000,11820,1832000,6.7
seed-014,360,123.1,0.342,2.35,0.27,0.45,0.28,17,10.9,35,640,13380000,4680000,10420,1615000,8.3
seed-015,360,88.2,0.245,1.88,0.14,0.36,0.50,12,7.7,25,640,9450000,3310000,6100,946000,10.0
seed-016,520,268.3,0.516,3.42,0.72,0.21,0.07,38,24.3,30,640,29910000,13460000,33620,5211000,5.7
seed-017,520,238.7,0.459,3.12,0.58,0.31,0.11,34,21.8,35,640,26770000,12050000,27550,4270000,6.3
seed-018,520,210.6,0.405,2.78,0.43,0.39,0.18,30,15.0,25,500,18450000,8300000,17050,2643000,7.0
seed-019,520,177.8,0.342,2.35,0.27,0.45,0.28,25,16.0,30,640,19680000,6890000,14920,2313000,8.5
seed-020,520,127.4,0.245,1.88,0.14,0.36,0.50,18,11.5,35,640,14170000,4960000,9120,1414000,10.0
seed-021,740,381.8,0.516,3.42,0.72,0.21,0.07,54,34.6,25,640,42530000,19140000,46320,7180000,5.9
seed-022,740,339.7,0.459,3.12,0.58,0.31,0.11,48,30.7,30,640,37790000,17010000,39600,6138000,6.2
seed-023,740,299.7,0.405,2.78,0.43,0.39,0.18,42,21.0,35,500,25830000,11620000,24350,3774000,6.8
seed-024,740,253.1,0.342,2.35,0.27,0.45,0.28,36,23.0,25,640,28340000,9920000,20280,3143000,9.0
